PII_Class,Added,Modified,Total,Modification_Rate
UNCATEGORIZED,389,601,990,60.70707070707071
IDENTITY_TRACKING,305,457,762,59.973753280839894
ID_SOLUTIONS_AND_EXCHANGES,270,305,575,53.04347826086957
SUSPICIOUS_VALUES,139,175,314,55.73248407643312
CONSENT_AND_PRIVACY,145,67,212,31.60377358490566
UX_AND_PERFORMANCE_ANALYTICS,53,63,116,54.310344827586206
USER_PREFERENCES_EXTENDED,60,53,113,46.902654867256636
SECURITY_AND_BOT_MITIGATION,37,22,59,37.28813559322034
SESSION_MANAGEMENT,40,6,46,13.043478260869565
INFRASTRUCTURE,22,23,45,51.11111111111111
CUSTOMER_INTERACTION,8,24,32,75.0
NAVIGATION_HISTORY,6,9,15,60.0
