Vendor,Count,Num_PII_Classes
Taboola,2340,3
adnxs.com,1800,4
sg.fr,1566,7
zooplus.fr,1368,7
Criteo,1350,4
lexpress.fr,1116,6
numerama.com,1080,9
4murs.com,1044,8
wecasa.fr,1044,8
PubMatic,954,4
caisse-epargne.fr,936,6
Google,918,2
bouyguestelecom.fr,918,7
adsrvr.org,864,3
banquepopulaire.fr,828,6
planet.fr,828,7
maty.com,792,8
Rubicon,738,1
republicain-lorrain.fr,720,6
madmoizelle.com,720,7
yves-rocher.fr,702,10
letudiant.fr,684,6
actu.fr,666,8
magicmaman.com,666,6
lcl.fr,648,8
boursorama.com,630,6
sudouest.fr,630,9
carrefour.fr,630,9
sarenza.com,612,8
3lift.com,576,1
