Transition,Count
CONSENT_AND_PRIVACY::tcf_v2 → USER_PREFERENCES_EXTENDED::cmp_vendors_specific,504
CONSENT_AND_PRIVACY::didomi → USER_PREFERENCES_EXTENDED::cmp_vendors_specific,288
IDENTITY_TRACKING::criteo → ID_SOLUTIONS_AND_EXCHANGES::criteo_extended,288
IDENTITY_TRACKING::generic_ids → IDENTITY_TRACKING::generic_adtech,270
ID_SOLUTIONS_AND_EXCHANGES::rossel_advertising → SUSPICIOUS_VALUES::base64_json,252
IDENTITY_TRACKING::generic_ids → SUSPICIOUS_VALUES::uuid_format,234
IDENTITY_TRACKING::generic_ids → SESSION_MANAGEMENT::generic_session,144
IDENTITY_TRACKING::microsoft_stack → ID_SOLUTIONS_AND_EXCHANGES::pubmatic_extended,144
SESSION_MANAGEMENT::php_session → SESSION_MANAGEMENT::generic_session,126
IDENTITY_TRACKING::meta_stack → ID_SOLUTIONS_AND_EXCHANGES::liveramp,108
BEHAVIORAL_DATA::vendor_clarity → UX_AND_PERFORMANCE_ANALYTICS::hotjar_clarity,108
IDENTITY_TRACKING::microsoft_stack → SUSPICIOUS_VALUES::uuid_format,108
CONSENT_AND_PRIVACY::consent_management → IDENTITY_TRACKING::publisher_ids,90
ID_SOLUTIONS_AND_EXCHANGES::shared_id → SUSPICIOUS_VALUES::uuid_format,90
CONSENT_AND_PRIVACY::consent_management → USER_PREFERENCES_EXTENDED::cmp_vendors_specific,90
CUSTOMER_INTERACTION::chat_support → SUSPICIOUS_VALUES::uuid_format,72
IDENTITY_TRACKING::twitter_stack → ID_SOLUTIONS_AND_EXCHANGES::twitter_extended,72
CONSENT_AND_PRIVACY::consent_management → IDENTITY_TRACKING::amplitude,72
IDENTITY_TRACKING::generic_adtech → SUSPICIOUS_VALUES::auth_tokens,54
DEVICE_ENV::language → USER_PREFERENCES::language,54
CONSENT_AND_PRIVACY::consent_management → ID_SOLUTIONS_AND_EXCHANGES::first_id,36
SECURITY_AND_BOT_MITIGATION::anti_csrf → SECURITY_AND_BOT_MITIGATION::auth_security,36
CONSENT_AND_PRIVACY::cmp_generic → CONSENT_AND_PRIVACY::consent_management,36
BEHAVIORAL_DATA::vendor_hotjar → UX_AND_PERFORMANCE_ANALYTICS::hotjar_clarity,36
APP_STATE_STORAGE::user_preferences → CONSENT_AND_PRIVACY::consent_management,36
CONSENT_AND_PRIVACY::google_consent → USER_PREFERENCES_EXTENDED::cmp_vendors_specific,36
SUSPICIOUS_VALUES::base64_json → ID_SOLUTIONS_AND_EXCHANGES::pubmatic,36
IDENTITY_TRACKING::google_stack → ID_SOLUTIONS_AND_EXCHANGES::taboola_outbrain,36
CONSENT_AND_PRIVACY::didomi → USER_PREFERENCES_EXTENDED::abtasty,36
ID_SOLUTIONS_AND_EXCHANGES::zeotap → SECURITY_AND_BOT_MITIGATION::cloudflare,36
