auth,user,policy,storage,l_added,l_modified,l_deleted,pii_count,critical_risk,high_risk,medium_risk,low_risk
Auth,FR_0018,NONE,cookies,1494,1825,0,1,79,586,783,46
Auth,FR_0018,NONE,indexeddb,367,0,0,0,6,23,338,0
Auth,FR_0018,NONE,localstorage,727,128,0,0,27,348,352,0
Auth,FR_0018,NONE,sessionstorage,308,42,0,0,0,9,143,156
Auth,FR_0018,PARTIAL,cookies,1494,1825,0,1,79,586,783,46
Auth,FR_0018,PARTIAL,indexeddb,367,0,0,0,6,23,338,0
Auth,FR_0018,PARTIAL,localstorage,727,128,0,0,27,348,352,0
Auth,FR_0018,PARTIAL,sessionstorage,308,42,0,0,0,9,143,156
Auth,FR_0018,ALL,cookies,1494,1825,0,1,79,586,783,46
Auth,FR_0018,ALL,indexeddb,367,0,0,0,6,23,338,0
Auth,FR_0018,ALL,localstorage,727,128,0,0,27,348,352,0
Auth,FR_0018,ALL,sessionstorage,308,42,0,0,0,9,143,156
Auth,FR_0017,NONE,cookies,1494,1825,0,1,79,586,783,46
Auth,FR_0017,NONE,indexeddb,367,0,0,0,6,23,338,0
Auth,FR_0017,NONE,localstorage,727,128,0,0,27,348,352,0
Auth,FR_0017,NONE,sessionstorage,308,42,0,0,0,9,143,156
Auth,FR_0017,PARTIAL,cookies,1494,1825,0,1,79,586,783,46
Auth,FR_0017,PARTIAL,indexeddb,367,0,0,0,6,23,338,0
Auth,FR_0017,PARTIAL,localstorage,727,128,0,0,27,348,352,0
Auth,FR_0017,PARTIAL,sessionstorage,308,42,0,0,0,9,143,156
Auth,FR_0017,ALL,cookies,1494,1825,0,1,79,586,783,46
Auth,FR_0017,ALL,indexeddb,367,0,0,0,6,23,338,0
Auth,FR_0017,ALL,localstorage,727,128,0,0,27,348,352,0
Auth,FR_0017,ALL,sessionstorage,308,42,0,0,0,9,143,156
Auth,FR_0019,NONE,cookies,1494,1825,0,1,79,586,783,46
Auth,FR_0019,NONE,indexeddb,367,0,0,0,6,23,338,0
Auth,FR_0019,NONE,localstorage,727,128,0,0,27,348,352,0
Auth,FR_0019,NONE,sessionstorage,308,42,0,0,0,9,143,156
Auth,FR_0019,PARTIAL,cookies,1494,1825,0,1,79,586,783,46
Auth,FR_0019,PARTIAL,indexeddb,367,0,0,0,6,23,338,0
Auth,FR_0019,PARTIAL,localstorage,727,128,0,0,27,348,352,0
Auth,FR_0019,PARTIAL,sessionstorage,308,42,0,0,0,9,143,156
Auth,FR_0019,ALL,cookies,1494,1825,0,1,79,586,783,46
Auth,FR_0019,ALL,indexeddb,367,0,0,0,6,23,338,0
Auth,FR_0019,ALL,localstorage,727,128,0,0,27,348,352,0
Auth,FR_0019,ALL,sessionstorage,308,42,0,0,0,9,143,156
UnAuth,FR_0018,NONE,cookies,1494,1825,0,1,79,586,783,46
UnAuth,FR_0018,NONE,indexeddb,367,0,0,0,6,23,338,0
UnAuth,FR_0018,NONE,localstorage,727,128,0,0,27,348,352,0
UnAuth,FR_0018,NONE,sessionstorage,308,42,0,0,0,9,143,156
UnAuth,FR_0018,PARTIAL,cookies,1494,1825,0,1,79,586,783,46
UnAuth,FR_0018,PARTIAL,indexeddb,367,0,0,0,6,23,338,0
UnAuth,FR_0018,PARTIAL,localstorage,727,128,0,0,27,348,352,0
UnAuth,FR_0018,PARTIAL,sessionstorage,308,42,0,0,0,9,143,156
UnAuth,FR_0018,ALL,cookies,1494,1825,0,1,79,586,783,46
UnAuth,FR_0018,ALL,indexeddb,367,0,0,0,6,23,338,0
UnAuth,FR_0018,ALL,localstorage,727,128,0,0,27,348,352,0
UnAuth,FR_0018,ALL,sessionstorage,308,42,0,0,0,9,143,156
UnAuth,FR_0017,NONE,cookies,1494,1825,0,1,79,586,783,46
UnAuth,FR_0017,NONE,indexeddb,367,0,0,0,6,23,338,0
UnAuth,FR_0017,NONE,localstorage,727,128,0,0,27,348,352,0
UnAuth,FR_0017,NONE,sessionstorage,308,42,0,0,0,9,143,156
UnAuth,FR_0017,PARTIAL,cookies,1494,1825,0,1,79,586,783,46
UnAuth,FR_0017,PARTIAL,indexeddb,367,0,0,0,6,23,338,0
UnAuth,FR_0017,PARTIAL,localstorage,727,128,0,0,27,348,352,0
UnAuth,FR_0017,PARTIAL,sessionstorage,308,42,0,0,0,9,143,156
UnAuth,FR_0017,ALL,cookies,1494,1825,0,1,79,586,783,46
UnAuth,FR_0017,ALL,indexeddb,367,0,0,0,6,23,338,0
UnAuth,FR_0017,ALL,localstorage,727,128,0,0,27,348,352,0
UnAuth,FR_0017,ALL,sessionstorage,308,42,0,0,0,9,143,156
UnAuth,FR_0019,NONE,cookies,1494,1825,0,1,79,586,783,46
UnAuth,FR_0019,NONE,indexeddb,367,0,0,0,6,23,338,0
UnAuth,FR_0019,NONE,localstorage,727,128,0,0,27,348,352,0
UnAuth,FR_0019,NONE,sessionstorage,308,42,0,0,0,9,143,156
UnAuth,FR_0019,PARTIAL,cookies,1494,1825,0,1,79,586,783,46
UnAuth,FR_0019,PARTIAL,indexeddb,367,0,0,0,6,23,338,0
UnAuth,FR_0019,PARTIAL,localstorage,727,128,0,0,27,348,352,0
UnAuth,FR_0019,PARTIAL,sessionstorage,308,42,0,0,0,9,143,156
UnAuth,FR_0019,ALL,cookies,1494,1825,0,1,79,586,783,46
UnAuth,FR_0019,ALL,indexeddb,367,0,0,0,6,23,338,0
UnAuth,FR_0019,ALL,localstorage,727,128,0,0,27,348,352,0
UnAuth,FR_0019,ALL,sessionstorage,308,42,0,0,0,9,143,156
