PII_Class,Total_Cookies,HttpOnly_Pct,Secure_Pct,SameSite_Protected_Pct,HttpOnly_Missing_Pct,Secure_Missing_Pct,SameSite_Unprotected_Pct,Third_Party_Pct,First_Party_Pct,Critical_Risk,High_Risk,High_Critical_Pct
APP_STATE_STORAGE,5826,8.9%,70.8%,45.3%,91.1%,29.2%,54.7%,61.0%,39.0%,0,0,0.0%
BEHAVIORAL_DATA,1517,4.1%,41.5%,79.6%,95.9%,58.5%,20.4%,42.7%,57.3%,0,31,2.0%
CONSENT_AND_PRIVACY,1086,6.2%,49.6%,82.6%,93.8%,50.4%,17.4%,36.9%,63.1%,0,118,10.9%
DEVICE_ENV,575,30.6%,83.7%,32.0%,69.4%,16.3%,68.0%,72.3%,27.7%,0,22,3.8%
DIRECT_PII_KEYS,145,16.6%,40.0%,81.4%,83.4%,60.0%,18.6%,60.7%,39.3%,0,0,0.0%
IDENTITY_TRACKING,17191,25.5%,70.6%,40.7%,74.5%,29.4%,59.3%,64.9%,35.1%,2144,13954,93.6%
ID_SOLUTIONS_AND_EXCHANGES,1704,15.7%,76.8%,41.5%,84.3%,23.2%,58.5%,64.7%,35.3%,288,1415,99.9%
INFRASTRUCTURE,318,36.5%,58.8%,61.9%,63.5%,41.2%,38.1%,78.0%,22.0%,0,0,0.0%
LOCATION_AND_DEMOGRAPHICS,113,34.5%,61.9%,85.0%,65.5%,38.1%,15.0%,56.6%,43.4%,0,0,0.0%
NAVIGATION_HISTORY,159,9.4%,37.7%,86.8%,90.6%,62.3%,13.2%,56.0%,44.0%,0,41,25.8%
SECURITY_AND_BOT_MITIGATION,652,72.4%,83.6%,32.5%,27.6%,16.4%,67.5%,75.0%,25.0%,0,10,1.5%
SENSITIVE_LOCATION_PII,1,0.0%,0.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,0,0,0.0%
SESSION_MANAGEMENT,435,63.2%,65.7%,73.3%,36.8%,34.3%,26.7%,62.8%,37.2%,0,58,13.3%
SUSPICIOUS_VALUES,4,0.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0,0,0.0%
TECHNICAL_PASSWORDS,857,57.8%,63.6%,77.2%,42.2%,36.4%,22.8%,76.1%,23.9%,0,0,0.0%
USER_PREFERENCES,945,15.3%,41.0%,85.2%,84.7%,59.0%,14.8%,40.2%,59.8%,0,5,0.5%
UX_AND_PERFORMANCE_ANALYTICS,978,8.7%,47.4%,70.7%,91.3%,52.6%,29.3%,42.2%,57.8%,5,423,43.8%
ai_refined,27,33.3%,51.9%,85.2%,66.7%,48.1%,14.8%,37.0%,63.0%,0,22,81.5%
email_exact,5,20.0%,20.0%,100.0%,80.0%,80.0%,0.0%,60.0%,40.0%,0,4,80.0%
email_username,2,0.0%,50.0%,100.0%,100.0%,50.0%,0.0%,0.0%,100.0%,0,2,100.0%
health_marker,34,0.0%,0.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,0,34,100.0%
ip_address,25,4.0%,76.0%,60.0%,96.0%,24.0%,40.0%,48.0%,52.0%,1,24,100.0%
postal_code_area,192,0.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0,192,100.0%
