,Cookies,localStorage,sessionStorage,IndexedDB,Total_Items,Present_In_N_Storages
BEHAVIORAL_DATA,813.0,2829.0,951.0,203107.0,207700.0,4
IDENTITY_TRACKING,7749.0,3972.0,1288.0,22840.0,35849.0,4
DEVICE_ENV,575.0,850.0,286.0,33099.0,34810.0,4
SUSPICIOUS_VALUES,16705.0,1743.0,765.0,1976.0,21189.0,4
USER_PREFERENCES,945.0,1204.0,574.0,18450.0,21173.0,4
DIRECT_PII_KEYS,175.0,1383.0,598.0,15395.0,17551.0,4
LOCATION_AND_DEMOGRAPHICS,113.0,360.0,157.0,10344.0,10974.0,4
NAVIGATION_HISTORY,159.0,706.0,327.0,4019.0,5211.0,4
APP_STATE_STORAGE,131.0,1126.0,194.0,3365.0,4816.0,4
INFRASTRUCTURE,318.0,41.0,4.0,3799.0,4162.0,4
ID_SOLUTIONS_AND_EXCHANGES,1704.0,2078.0,249.0,101.0,4132.0,4
CONSENT_AND_PRIVACY,1086.0,1614.0,99.0,1010.0,3809.0,4
UX_AND_PERFORMANCE_ANALYTICS,975.0,419.0,192.0,1364.0,2950.0,4
SESSION_MANAGEMENT,435.0,155.0,249.0,642.0,1481.0,4
SECURITY_AND_BOT_MITIGATION,652.0,21.0,30.0,597.0,1300.0,4
unknown,0.0,196.0,142.0,597.0,935.0,3
postal_code_area,192.0,0.0,0.0,0.0,192.0,1
SENSITIVE_LOCATION_PII,1.0,5.0,1.0,85.0,92.0,4
TELEMETRY_AND_ERRORS,0.0,0.0,2.0,61.0,63.0,2
FINGERPRINTING_ADVANCED,0.0,41.0,0.0,6.0,47.0,2
SERVER_SIDE_TRACKING,0.0,1.0,35.0,0.0,36.0,2
health_marker,34.0,0.0,0.0,0.0,34.0,1
ai_refined,27.0,0.0,0.0,0.0,27.0,1
ip_address,25.0,0.0,0.0,0.0,25.0,1
email_exact,5.0,0.0,0.0,0.0,5.0,1
email_username,2.0,0.0,0.0,0.0,2.0,1
UNCATEGORYED,0.0,0.0,0.0,1.0,1.0,1
