Vendor,Count,Num_PII_Classes
a-mo.net,2674,5
The Trade Desk,1876,3
Microsoft,1715,8
PubMatic,1702,5
Google,1613,6
Xandr,1220,4
passagedudesir.fr,1039,10
cabaia.fr,980,13
sg.fr,912,10
Outbrain,863,4
newsroom.bi,829,6
wecasa.fr,786,7
Criteo,762,4
optidigital.com,686,3
Rubicon,684,5
legalplace.fr,679,9
lastminute.com,676,8
Sharethrough,660,1
loopme.me,638,1
zooplus.fr,637,12
4dex.io,636,2
admanmedia.com,636,3
legalstart.fr,636,6
tapad.com,624,3
idmarket.com,619,10
4murs.com,612,9
riuparis.fr,569,7
flunch.fr,557,9
petitfute.com,543,9
stadefrance.com,522,8
