PII_Class,Added,Modified,Total,Modification_Rate
SUSPICIOUS_VALUES,605,1131,1736,65.14976958525345
IDENTITY_TRACKING,271,699,970,72.06185567010309
ID_SOLUTIONS_AND_EXCHANGES,61,103,164,62.80487804878049
BEHAVIORAL_DATA,68,62,130,47.69230769230769
UX_AND_PERFORMANCE_ANALYTICS,39,68,107,63.55140186915887
CONSENT_AND_PRIVACY,30,52,82,63.41463414634146
USER_PREFERENCES,49,32,81,39.50617283950617
DEVICE_ENV,36,21,57,36.84210526315789
SECURITY_AND_BOT_MITIGATION,23,24,47,51.06382978723404
SESSION_MANAGEMENT,20,10,30,33.33333333333333
INFRASTRUCTURE,13,15,28,53.57142857142857
LOCATION_AND_DEMOGRAPHICS,11,6,17,35.294117647058826
