Cookie_Key,Modification_Frequency
TDID|.adsrvr.org|/,16
KADUSERCOOKIE|.pubmatic.com|/,15
stx_user_id|.sharethrough.com|/,10
obuid|.outbrain.com|/,10
admtr|.admanmedia.com|/,8
amuid2|.a-mo.net|/,7
li_sugr|.linkedin.com|/,7
viewer_token|.csync.loopme.me|/,7
cto_bundle|.criteo.com|/,7
sd_amuid2|.prebid.a-mo.net|/,6
com.silverpop.iMAWebCookie|.riuparis.fr|/,6
_pprv|.egora.fr|/,6
pamuid2|.a-mo.net|/,6
TapAd_DID|.tapad.com|/,6
uuid2|.adnxs.com|/,6
keep_alive|www.passagedudesir.fr|/,5
com.silverpop.iMA.session|.riuparis.fr|/,5
cid|.sojern.com|/,5
lidid|.liadm.com|/,5
_ssuma|.sitescout.com|/,5
