Transition,Count
BEHAVIORAL_DATA::vendor_session_replay → UX_AND_PERFORMANCE_ANALYTICS::hotjar_clarity,441
CONSENT_AND_PRIVACY::didomi → SUSPICIOUS_VALUES::base64_json,192
IDENTITY_TRACKING::criteo → ID_SOLUTIONS_AND_EXCHANGES::criteo_extended,167
IDENTITY_TRACKING::tracking_ids → ID_SOLUTIONS_AND_EXCHANGES::piano_io,140
IDENTITY_TRACKING::microsoft_stack → ID_SOLUTIONS_AND_EXCHANGES::pubmatic,137
IDENTITY_TRACKING::microsoft_stack → SUSPICIOUS_VALUES::uuid_format,115
IDENTITY_TRACKING::ai_refined → BEHAVIORAL_DATA::ai_refined,88
ID_SOLUTIONS_AND_EXCHANGES::rossel_advertising → SUSPICIOUS_VALUES::base64_json,85
IDENTITY_TRACKING::tracking_ids → SUSPICIOUS_VALUES::base64_json,71
BEHAVIORAL_DATA::ai_refined → IDENTITY_TRACKING::ai_refined,63
SECURITY_AND_BOT_MITIGATION::anti_csrf → SUSPICIOUS_VALUES::base64_json,57
IDENTITY_TRACKING::twitter_stack → ID_SOLUTIONS_AND_EXCHANGES::twitter_extended,57
DEVICE_ENV::language → USER_PREFERENCES::language,45
IDENTITY_TRACKING::generic_adtech → SUSPICIOUS_VALUES::auth_tokens,45
IDENTITY_TRACKING::tracking_ids → SUSPICIOUS_VALUES::uuid_format,44
IDENTITY_TRACKING::microsoft_stack → ID_SOLUTIONS_AND_EXCHANGES::linkedin_extended,42
ID_SOLUTIONS_AND_EXCHANGES::shared_id → SUSPICIOUS_VALUES::uuid_format,36
IDENTITY_TRACKING::ai_refined → USER_PREFERENCES::ai_refined,34
IDENTITY_TRACKING::googl_stack → ID_SOLUTIONS_AND_EXCHANGES::taboola_outbrain,32
ID_SOLUTIONS_AND_EXCHANGES::mediarithmics → UX_AND_PERFORMANCE_ANALYTICS::adobe_analytics,28
IDENTITY_TRACKING::vendor_specific_ids → SUSPICIOUS_VALUES::uuid_format,27
DEVICE_ENV::browser_info → IDENTITY_TRACKING::googl_stack,25
SECURITY_AND_BOT_MITIGATION::akamai_bot → UX_AND_PERFORMANCE_ANALYTICS::ab_testing_generic,23
IDENTITY_TRACKING::tracking_ids → UX_AND_PERFORMANCE_ANALYTICS::atinternet,22
USER_PREFERENCES::ai_refined → BEHAVIORAL_DATA::ai_refined,22
BEHAVIORAL_DATA::ai_refined → USER_PREFERENCES::ai_refined,21
USER_PREFERENCES::ai_refined → IDENTITY_TRACKING::ai_refined,20
IDENTITY_TRACKING::segment_io → SUSPICIOUS_VALUES::uuid_format,20
APP_STATE_STORAGE::shopify_session → SUSPICIOUS_VALUES::uuid_format,19
CONSENT_AND_PRIVACY::consent_management → USER_PREFERENCES::privacy,19
