dimension,alpha,UnAuth>Auth,ALL>NONE,IDB>Cookie
id,0.1,True,True,True
id,0.2,True,True,True
id,0.3,True,True,True
id,0.4,True,True,True
id,0.5,True,True,True
id,0.6,True,True,True
id,0.7,True,True,True
id,0.8,True,True,True
id,0.9,True,True,True
id,1.0,True,True,True
ato,0.1,True,True,True
ato,0.2,True,True,True
ato,0.3,True,True,True
ato,0.4,True,True,True
ato,0.5,True,True,True
ato,0.6,True,True,True
ato,0.7,True,True,True
ato,0.8,True,True,True
ato,0.9,True,True,True
ato,1.0,True,True,True
link,0.1,True,True,True
link,0.2,True,True,True
link,0.3,True,True,True
link,0.4,True,True,True
link,0.5,True,True,True
link,0.6,True,True,True
link,0.7,True,True,True
link,0.8,True,True,True
link,0.9,True,True,True
link,1.0,True,True,True
loc,0.1,True,True,True
loc,0.2,True,True,True
loc,0.3,True,True,True
loc,0.4,True,True,True
loc,0.5,True,True,True
loc,0.6,True,True,True
loc,0.7,True,True,True
loc,0.8,True,True,True
loc,0.9,True,True,True
loc,1.0,True,True,True
prof,0.1,True,True,True
prof,0.2,True,True,True
prof,0.3,True,True,True
prof,0.4,True,True,True
prof,0.5,True,True,True
prof,0.6,True,True,True
prof,0.7,True,True,True
prof,0.8,True,True,True
prof,0.9,True,True,True
prof,1.0,True,True,True
env,0.1,True,True,True
env,0.2,True,True,True
env,0.3,True,True,True
env,0.4,True,True,True
env,0.5,True,True,True
env,0.6,True,True,True
env,0.7,True,True,True
env,0.8,True,True,True
env,0.9,True,True,True
env,1.0,True,True,True
